v_mae,v_rmse,v_r2,t_mae,t_rmse,t_r2,n_valid_points,model,display_name,experiment_id,operation,c_rate,n_sequences
0.0017138978000730276,0.004728343420352564,0.9908639788627625,0.1612466722726822,0.3930077929658376,0.9934142231941223,24160,cnn_bilstm,CNN-BiLSTM,cc_chg_2p5C_25degC,charge,2.5,151
0.004742712248116732,0.019630718266180458,0.9920961260795593,0.0538313090801239,0.07832039300338908,0.9996769428253174,24160,cnn_bilstm,CNN-BiLSTM,cc_dchg_1p5C_25degC,discharge,1.5,151
0.004689036402851343,0.019597244526300225,0.9908739924430847,0.06887069344520569,0.10293033968811145,0.9997150897979736,24160,cnn_bilstm,CNN-BiLSTM,cc_dchg_2C_25degC,discharge,2.0,151
0.005033400841057301,0.019168870081348967,0.9898062944412231,0.09658655524253845,0.14908570629794202,0.9996427297592163,24160,cnn_bilstm,CNN-BiLSTM,cc_dchg_2p5C_25degC,discharge,2.5,151
0.006682658568024635,0.011764595016694806,0.9770196080207825,0.17603226006031036,0.2915192540919136,0.9929147362709045,24160,bayesian_mlp,Bayesian MLP,cc_chg_1p5C_25degC,charge,1.5,151
0.005539479665458202,0.010289203116262375,0.9727789759635925,0.21943399310112,0.3768969874507822,0.9921402335166931,24160,bayesian_mlp,Bayesian MLP,cc_chg_2C_25degC,charge,2.0,151
0.005317656323313713,0.010024742081845565,0.9589337706565857,0.26275572180747986,0.46221402773708964,0.990890622138977,24160,bayesian_mlp,Bayesian MLP,cc_chg_2p5C_25degC,charge,2.5,151
0.011760233901441097,0.026443474841681094,0.9856581687927246,0.10974155366420746,0.14522090891503,0.9988892674446106,24160,bayesian_mlp,Bayesian MLP,cc_dchg_1p5C_25degC,discharge,1.5,151
0.01074272021651268,0.026092162324879088,0.9838224649429321,0.134799525141716,0.18796920679596582,0.9990497827529907,24160,bayesian_mlp,Bayesian MLP,cc_dchg_2C_25degC,discharge,2.0,151
0.01100072544068098,0.026168099218200735,0.9810030460357666,0.208656445145607,0.31993387686512426,0.9983547925949097,24160,bayesian_mlp,Bayesian MLP,cc_dchg_2p5C_25degC,discharge,2.5,151
