branch,filename,size_kb,width,height,status,message
error_metrics,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/error_metrics/lhs_error_metrics_full_20260717_101334/figures/mlp_voltage_parity.png,134.78,1020,1020,PASS,
error_metrics,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/error_metrics/lhs_error_metrics_full_20260717_101334/figures/model_ranking_heatmap.png,175.18,2040,1326,PASS,
error_metrics,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/error_metrics/lhs_error_metrics_full_20260717_101334/figures/random_forest_feature_importance.png,98.84,1530,773,PASS,
error_metrics,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/error_metrics/lhs_error_metrics_full_20260717_101334/figures/random_forest_residuals.png,241.27,2040,850,PASS,
error_metrics,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/error_metrics/lhs_error_metrics_full_20260717_101334/figures/random_forest_temperature_parity.png,149.36,1020,1020,PASS,
error_metrics,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/error_metrics/lhs_error_metrics_full_20260717_101334/figures/random_forest_voltage_parity.png,142.24,1020,1020,PASS,
error_metrics,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/error_metrics/lhs_error_metrics_full_20260717_101334/figures/wide_deep_mlp_residuals.png,226.38,2040,850,PASS,
error_metrics,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/error_metrics/lhs_error_metrics_full_20260717_101334/figures/wide_deep_mlp_temperature_parity.png,119.73,1020,1020,PASS,
error_metrics,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/error_metrics/lhs_error_metrics_full_20260717_101334/figures/wide_deep_mlp_voltage_parity.png,135.38,1020,1020,PASS,
error_metrics,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/error_metrics/lhs_error_metrics_full_20260717_101334/figures/xgboost_feature_importance.png,101.54,1530,773,PASS,
error_metrics,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/error_metrics/lhs_error_metrics_full_20260717_101334/figures/xgboost_residuals.png,239.19,2040,850,PASS,
error_metrics,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/error_metrics/lhs_error_metrics_full_20260717_101334/figures/xgboost_temperature_parity.png,128.63,1020,1020,PASS,
error_metrics,/data1/minhntn/nhatminh/VinFast/Timeseries_prediction/outputs/lhs_1000_seed42/error_metrics/lhs_error_metrics_full_20260717_101334/figures/xgboost_voltage_parity.png,140.71,1020,1020,PASS,
